Item,Video
Bottle,https://youtu.be/774foiJWgLg
Tooth Paste Tube,https://youtu.be/3cjU_JSVgPs
Toothbrush,https://youtu.be/SFxS3a8fw4M
Soap,https://youtu.be/jIqUgoa2lSs
Comb,https://youtu.be/6oEx5OfWwPc
Mirror,https://youtu.be/67G_hoLYRjw
Pen,https://youtu.be/g1FFk8X6g6Y
Cans,https://youtu.be/UHBX2saVjeU
Plastic bags,https://youtu.be/787VpNLjpmY
Straws,https://youtu.be/55514PATroc
Cigarette butts,https://youtu.be/z_81HlBygLc
Diapers,https://youtu.be/HArOQXWVIfI
Styrofoam,https://youtu.be/OTcKuWqGYlQ
Fishing line,https://youtu.be/HTYwgSHlMQE
Mobile,https://youtu.be/ClEp_ubHEYk
Broom Stick,https://youtu.be/8KluocvAIbk
Coffee Mug,https://youtu.be/NyEiBYuZqHk
Plastic Chair,https://youtu.be/mnVPZQF-UUk
Water Pipe,https://youtu.be/KzFQQ0He6R8
Bangles,https://youtu.be/tlQ5QWDexCg
Tyre,https://youtu.be/ldE-mam2rq8
Light Bulb,https://youtu.be/Jteudn9hkOs
Plastic Broom,https://youtu.be/g-MDyiTzrYY
Containers,https://youtu.be/W4_zew8yNug
Battery,https://youtu.be/14dW1chYAZc
Toys,https://youtu.be/v_pjQkiXOng
Spectacles,https://youtu.be/AqrtptP9tn8
Ruler,https://youtu.be/DXoPWU7_Vl0
Sharpener,https://youtu.be/USFG8SFqL5w
Photo Frame,https://youtu.be/BV8I1lnGE90
Refrigerator,https://youtu.be/DRylvhhNxuM
Ovens,https://youtu.be/R2onQmp99_4
Wires,https://youtu.be/G5I6pneCqbY
Gas Stove,https://youtu.be/wcD1spKBY3M
Water Filter,https://youtu.be/g7Usr9UCFIY
Air Conditioner,https://youtu.be/N1nfjx7Oxec
Television,https://youtu.be/ze8v-uUJ78E
Glass Jar,https://youtu.be/2poNyydTtyM
Wrapper,https://youtu.be/vQrutxeWd3I
Rods ,https://youtu.be/vkG92PeZNFc
